batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position
Prabhsimran Singh ,c sub (DR Sams) b Naveen-ul-Haq,9,13,24,2,0,69.23,1359512,1
Shikhar Dhawan (c),c Pandya b Stoinis,1,2,5,0,0,50.00,1359512,2
Atharva Taide ,c & b Ravi Bishnoi,66,36,67,8,2,183.33,1359512,3
Sikandar Raza ,c Pandya b Yash Thakur,36,22,41,4,1,163.63,1359512,4
Liam Livingstone ,lbw b Ravi Bishnoi,23,14,19,2,1,164.28,1359512,5
Sam Curran ,c Badoni b Naveen-ul-Haq,21,11,24,2,1,190.90,1359512,6
Jitesh Sharma †,c Rahul b Yash Thakur,24,10,17,0,3,240.00,1359512,7
M Shahrukh Khan ,c Ravi Bishnoi b Yash Thakur,6,9,18,0,0,66.66,1359512,8
Rahul Chahar ,c Hooda b Yash Thakur,0,1,3,0,0,0.00,1359512,9
Kagiso Rabada , b Naveen-ul-Haq,0,1,5,0,0,0.00,1359512,10
Arshdeep Singh ,not out ,2,2,6,0,0,100.00,1359512,11
Extras,"(lb 4, nb 2, w 7)",13,,,,,,1359512,12
TOTAL,19.5 Ov (RR: 10.13),201,,,,,,1359512,13
Ruturaj Gaikwad ,c Padikkal b Zampa,47,29,45,5,1,162.06,1359511,1
Devon Conway ,c Sandeep Sharma b Zampa,8,16,28,1,0,50.00,1359511,2
Ajinkya Rahane ,c Buttler b Ashwin,15,13,23,0,0,115.38,1359511,3
Shivam Dube ,c Buttler b Yadav,52,33,52,2,4,157.57,1359511,4
Ambati Rayudu ,c Holder b Ashwin,0,2,4,0,0,0.00,1359511,5
Moeen Ali ,c †Samson b Zampa,23,12,21,2,2,191.66,1359511,6
Ravindra Jadeja ,not out ,23,15,27,3,0,153.33,1359511,7
Extras,"(lb 1, w 1)",2,,,,,,1359511,8
TOTAL,20 Ov (RR: 8.50),170/6,,,,,,1359511,9
Virat Kohli (c),c Iyer b Russell,54,37,59,6,0,145.94,1359510,1
Faf du Plessis ,c Singh b Suyash Sharma,17,7,12,1,2,242.85,1359510,2
Shahbaz Ahmed ,lbw b Suyash Sharma,2,5,11,0,0,40.00,1359510,3
Glenn Maxwell ,c Wiese b Varun,5,4,6,1,0,125.00,1359510,4
Mahipal Lomror ,c Russell b Varun,34,18,26,1,3,188.88,1359510,5
Dinesh Karthik †,c Singh b Varun,22,18,33,1,1,122.22,1359510,6
Suyash Prabhudessai ,run out (sub [AS Roy]/Suyash Sharma),10,9,15,1,0,111.11,1359510,7
Wanindu Hasaranga ,c sub (AS Roy) b Russell,5,4,11,0,0,125.00,1359510,8
David Willey ,not out ,11,10,16,1,0,110.00,1359510,9
Vijaykumar Vyshak ,not out ,13,8,12,0,1,162.50,1359510,10
Extras,"(lb 3, w 3)",6,,,,,,1359510,11
TOTAL,20 Ov (RR: 8.95),179/8,,,,,,1359510,12
Rohit Sharma (c),c & b Pandya,2,8,10,0,0,25.00,1359509,1
Ishan Kishan †,c Little b Rashid Khan,13,21,35,1,0,61.90,1359509,2
Cameron Green , b Noor Ahmad,33,26,43,0,3,126.92,1359509,3
Tilak Varma ,lbw b Rashid Khan,2,3,6,0,0,66.66,1359509,4
Suryakumar Yadav ,c & b Noor Ahmad,23,12,27,3,1,191.66,1359509,5
Tim David ,c Manohar b Noor Ahmad,0,2,3,0,0,0.00,1359509,6
Nehal Wadhera ,c Mohammed Shami b Sharma,40,21,38,3,3,190.47,1359509,7
Piyush Chawla ,run out (†Saha/Sharma),18,12,22,1,1,150.00,1359509,8
Arjun Tendulkar ,c Little b Sharma,13,9,13,0,1,144.44,1359509,9
Jason Behrendorff ,not out ,3,4,12,0,0,75.00,1359509,10
Riley Meredith ,not out ,0,2,2,0,0,0.00,1359509,11
Extras,"(b 4, w 1)",5,,,,,,1359509,12
TOTAL,20 Ov (RR: 7.60),152/9,,,,,,1359509,13
Harry Brook , b Nortje,7,14,26,0,0,50.00,1359508,1
Mayank Agarwal ,c Aman Hakim Khan b AR Patel,49,39,56,7,0,125.64,1359508,2
Rahul Tripathi ,c †Salt b Sharma,15,21,37,0,0,71.42,1359508,3
Abhishek Sharma ,c & b Kuldeep Yadav,5,5,13,0,0,100.00,1359508,4
Aiden Markram (c), b AR Patel,3,5,11,0,0,60.00,1359508,5
Heinrich Klaasen †,c Aman Hakim Khan b Nortje,31,19,25,3,1,163.15,1359508,6
Washington Sundar ,not out ,24,15,30,3,0,160.00,1359508,7
Marco Jansen ,not out ,2,3,11,0,0,66.66,1359508,8
Extras,(nb 1),1,,,,,,1359508,9
TOTAL,20 Ov (RR: 6.85),137/6,,,,,,1359508,10
Narayan Jagadeesan †,c Jadeja b Deshpande,1,3,9,0,0,33.33,1359507,1
Sunil Narine , b Akash Singh,0,3,4,0,0,0.00,1359507,2
Venkatesh Iyer ,lbw b Ali,20,20,35,2,1,100.00,1359507,3
Nitish Rana (c),c Gaikwad b Jadeja,27,20,38,4,1,135.00,1359507,4
Jason Roy , b Theekshana,61,26,35,5,5,234.61,1359507,5
Rinku Singh ,not out ,53,33,62,3,4,160.60,1359507,6
Andre Russell ,c Dube b Pathirana,9,6,14,0,1,150.00,1359507,7
David Wiese ,lbw b Deshpande,1,2,6,0,0,50.00,1359507,8
Umesh Yadav ,c Conway b Theekshana,4,4,8,0,0,100.00,1359507,9
Varun Chakravarthy ,not out ,0,3,9,0,0,0.00,1359507,10
Extras,"(lb 1, w 9)",10,,,,,,1359507,11
TOTAL,20 Ov (RR: 9.30),186/8,,,,,,1359507,12
Yashasvi Jaiswal ,c Kohli b Patel,47,37,63,5,2,127.02,1359506,1
Jos Buttler , b Mohammed Siraj,0,2,4,0,0,0.00,1359506,2
Devdutt Padikkal ,c Kohli b Willey,52,34,48,7,1,152.94,1359506,3
Sanju Samson (c)†,c Shahbaz Ahmed b Patel,22,15,22,2,1,146.66,1359506,4
Shimron Hetmyer ,run out (Prabhudessai),3,9,30,0,0,33.33,1359506,5
Dhruv Jurel ,not out ,34,16,35,2,2,212.50,1359506,6
Ravichandran Ashwin ,c Prabhudessai b Patel,12,6,14,2,0,200.00,1359506,7
Abdul Basith ,not out ,1,1,2,0,0,100.00,1359506,8
Extras,"(b 1, lb 3, w 7)",11,,,,,,1359506,9
TOTAL,20 Ov (RR: 9.10),182/6,,,,,,1359506,10
Rohit Sharma (c),c & b Livingstone,44,27,42,4,3,162.96,1359505,1
Ishan Kishan †,c Short b Arshdeep Singh,1,4,7,0,0,25.00,1359505,2
Cameron Green ,c Curran b Ellis,67,43,64,6,3,155.81,1359505,3
Suryakumar Yadav ,c Taide b Arshdeep Singh,57,26,42,7,3,219.23,1359505,4
Tim David ,not out ,25,13,34,0,2,192.30,1359505,5
Tilak Varma , b Arshdeep Singh,3,4,14,0,0,75.00,1359505,6
Nehal Wadhera , b Arshdeep Singh,0,1,2,0,0,0.00,1359505,7
Jofra Archer ,not out ,1,2,4,0,0,50.00,1359505,8
Extras,(w 3),3,,,,,,1359505,9
TOTAL,20 Ov (RR: 10.05),201/6,,,,,,1359505,10
KL Rahul (c),c Yadav b Sharma,68,61,94,8,0,111.47,1359504,1
Kyle Mayers , b Rashid Khan,24,19,31,2,1,126.31,1359504,2
Krunal Pandya ,st †Saha b Noor Ahmad,23,23,36,2,1,100.00,1359504,3
Nicholas Pooran †,c Pandya b Noor Ahmad,1,7,10,0,0,14.28,1359504,4
Ayush Badoni ,run out (Shankar/Sharma),8,6,22,0,0,133.33,1359504,5
Marcus Stoinis ,c Miller b Sharma,0,1,2,0,0,0.00,1359504,6
Deepak Hooda ,run out (Rashid Khan/†Saha),2,2,4,0,0,100.00,1359504,7
Prerak Mankad ,not out ,0,0,4,0,0,-,1359504,8
Ravi Bishnoi ,not out ,0,1,1,0,0,0.00,1359504,9
Extras,"(lb 1, w 1)",2,,,,,,1359504,10
TOTAL,20 Ov (RR: 6.40),128/7,,,,,,1359504,11
Ruturaj Gaikwad ,run out (Umran Malik),35,30,50,2,0,116.66,1359503,1
Devon Conway ,not out ,77,57,84,12,1,135.08,1359503,2
Ajinkya Rahane ,c Markram b Markande,9,10,15,0,0,90.00,1359503,3
Ambati Rayudu , b Markande,9,9,11,1,0,100.00,1359503,4
Moeen Ali ,not out ,6,6,9,1,0,100.00,1359503,5
Extras,(lb 2),2,,,,,,1359503,6
TOTAL,18.4 Ov (RR: 7.39),138/3,,,,,,1359503,7
David Warner (c),lbw b Varun,57,41,58,11,0,139.02,1359502,1
Prithvi Shaw , b Varun,13,11,22,2,0,118.18,1359502,2
Mitchell Marsh ,c sub (D Wiese) b Rana,2,9,14,0,0,22.22,1359502,3
Phil Salt †,c & b AS Roy,5,3,6,1,0,166.66,1359502,4
Manish Pandey ,c Singh b AS Roy,21,23,34,2,0,91.30,1359502,5
Axar Patel ,not out ,19,22,37,1,0,86.36,1359502,6
Aman Hakim Khan , b Rana,0,2,4,0,0,0.00,1359502,7
Lalit Yadav ,not out ,4,7,21,0,0,57.14,1359502,8
Extras,"(lb 2, nb 2, w 3)",7,,,,,,1359502,9
TOTAL,19.2 Ov (RR: 6.62),128/6,,,,,,1359502,10
Atharva Taide ,lbw b Mohammed Siraj,4,2,5,1,0,200.00,1359501,1
Prabhsimran Singh , b Parnell,46,30,59,3,4,153.33,1359501,2
Matthew Short , b Hasaranga,8,7,9,0,1,114.28,1359501,3
Liam Livingstone ,lbw b Mohammed Siraj,2,4,7,0,0,50.00,1359501,4
Harpreet Singh ,run out (Mohammed Siraj),13,9,12,1,1,144.44,1359501,5
Sam Curran (c),run out (Hasaranga),10,12,18,1,0,83.33,1359501,6
Jitesh Sharma †,c Shahbaz Ahmed b Patel,41,27,48,2,3,151.85,1359501,7
M Shahrukh Khan ,st †Karthik b Hasaranga,7,5,9,0,1,140.00,1359501,8
Harpreet Brar , b Mohammed Siraj,13,13,22,1,0,100.00,1359501,9
Nathan Ellis , b Mohammed Siraj,1,2,5,0,0,50.00,1359501,10
Arshdeep Singh ,not out ,0,0,3,0,0,-,1359501,11
Extras,"(b 1, lb 1, nb 1, w 2)",5,,,,,,1359501,12
TOTAL,18.2 Ov (RR: 8.18),150,,,,,,1359501,13
Yashasvi Jaiswal ,c Avesh Khan b Stoinis,44,35,60,4,2,125.71,1359500,1
Jos Buttler ,c Ravi Bishnoi b Stoinis,40,41,73,4,1,97.56,1359500,2
Sanju Samson (c)†,run out (Mishra/†Pooran),2,4,8,0,0,50.00,1359500,3
Devdutt Padikkal ,c †Pooran b Avesh Khan,26,21,36,4,0,123.80,1359500,4
Shimron Hetmyer ,c Rahul b Avesh Khan,2,5,12,0,0,40.00,1359500,5
Riyan Parag ,not out ,15,12,24,1,1,125.00,1359500,6
Dhruv Jurel ,c Hooda b Avesh Khan,0,1,2,0,0,0.00,1359500,7
Ravichandran Ashwin ,not out ,3,2,3,0,0,150.00,1359500,8
Extras,"(b 1, lb 4, nb 1, w 6)",12,,,,,,1359500,9
TOTAL,20 Ov (RR: 7.20),144/6,,,,,,1359500,10
Harry Brook ,c Yadav b Behrendorff,9,7,8,2,0,128.57,1359499,1
Mayank Agarwal ,c David b Meredith,48,41,76,4,1,117.07,1359499,2
Rahul Tripathi ,c †Ishan Kishan b Behrendorff,7,5,13,1,0,140.00,1359499,3
Aiden Markram (c),c Shokeen b Green,22,17,26,1,1,129.41,1359499,4
Abhishek Sharma ,c David b Chawla,1,2,5,0,0,50.00,1359499,5
Heinrich Klaasen †,c David b Chawla,36,16,24,4,2,225.00,1359499,6
Abdul Samad ,run out (Shokeen/†Ishan Kishan),9,12,34,1,0,75.00,1359499,7
Marco Jansen ,c David b Meredith,13,6,11,3,0,216.66,1359499,8
Washington Sundar ,run out (David),10,6,8,2,0,166.66,1359499,9
Bhuvneshwar Kumar ,c Sharma b Tendulkar,2,5,16,0,0,40.00,1359499,10
Mayank Markande ,not out ,2,2,4,0,0,100.00,1359499,11
Extras,"(b 1, lb 5, w 13)",19,,,,,,1359499,12
TOTAL,19.5 Ov (RR: 8.97),178,,,,,,1359499,13
Virat Kohli , b Akash Singh,6,4,3,1,0,150.00,1359498,1
Faf du Plessis (c),c †Dhoni b Ali,62,33,64,5,4,187.87,1359498,2
Mahipal Lomror ,c Gaikwad b Deshpande,0,5,7,0,0,0.00,1359498,3
Glenn Maxwell ,c †Dhoni b Theekshana,76,36,46,3,8,211.11,1359498,4
Shahbaz Ahmed ,c Gaikwad b Pathirana,12,10,29,0,1,120.00,1359498,5
Dinesh Karthik †,c Theekshana b Deshpande,28,14,15,3,1,200.00,1359498,6
Suyash Prabhudessai ,c Jadeja b Pathirana,19,11,20,0,2,172.72,1359498,7
Wayne Parnell ,c Dube b Deshpande,2,5,7,0,0,40.00,1359498,8
Wanindu Hasaranga ,not out ,2,2,10,0,0,100.00,1359498,9
Extras,"(lb 5, w 6)",11,,,,,,1359498,10
TOTAL,20 Ov (RR: 10.90),218/8,,,,,,1359498,11
Yashasvi Jaiswal ,c Shubman Gill b Pandya,1,7,9,0,0,14.28,1359497,1
Jos Buttler , b Mohammed Shami,0,5,14,0,0,0.00,1359497,2
Devdutt Padikkal ,c Sharma b Rashid Khan,26,25,38,2,2,104.00,1359497,3
Sanju Samson (c)†,c Miller b Noor Ahmad,60,32,61,3,6,187.50,1359497,4
Riyan Parag ,c Miller b Rashid Khan,5,7,10,0,0,71.42,1359497,5
Shimron Hetmyer ,not out ,56,26,44,2,5,215.38,1359497,6
Dhruv Jurel ,c Sharma b Mohammed Shami,18,10,19,2,1,180.00,1359497,7
Ravichandran Ashwin ,c Tewatia b Mohammed Shami,10,3,4,1,1,333.33,1359497,8
Trent Boult ,not out ,0,1,3,0,0,0.00,1359497,9
Extras,"(lb 1, w 2)",3,,,,,,1359497,10
TOTAL,19.2 Ov (RR: 9.25),179/7,,,,,,1359497,11
Rohit Sharma ,c Yadav b Suyash Sharma,20,13,25,1,2,153.84,1359496,1
Ishan Kishan †, b Varun,58,25,39,5,5,232.00,1359496,2
Suryakumar Yadav (c),c †Rahmanullah Gurbaz b Thakur,43,25,63,4,3,172.00,1359496,3
Tilak Varma , b Suyash Sharma,30,25,32,3,1,120.00,1359496,4
Tim David ,not out ,24,13,27,1,2,184.61,1359496,5
Nehal Wadhera ,c †Rahmanullah Gurbaz b Ferguson,6,4,7,1,0,150.00,1359496,6
Cameron Green ,not out ,1,1,3,0,0,100.00,1359496,7
Extras,(w 4),4,,,,,,1359496,8
TOTAL,17.4 Ov (RR: 10.52),186/5,,,,,,1359496,9
Atharva Taide ,c Avesh Khan b Yudhvir Singh,0,3,3,0,0,0.00,1359495,1
Prabhsimran Singh , b Yudhvir Singh,4,4,12,1,0,100.00,1359495,2
Matthew Short ,c Stoinis b Gowtham,34,22,30,5,1,154.54,1359495,3
Harpreet Singh ,c sub (PN Mankad) b Pandya,22,22,41,3,0,100.00,1359495,4
Sikandar Raza ,c Stoinis b Ravi Bishnoi,57,41,62,4,3,139.02,1359495,5
Sam Curran (c),c Pandya b Ravi Bishnoi,6,6,15,1,0,100.00,1359495,6
Jitesh Sharma †,c Rahul b Wood,2,4,10,0,0,50.00,1359495,7
M Shahrukh Khan ,not out ,23,10,26,1,2,230.00,1359495,8
Harpreet Brar ,c †Pooran b Wood,6,4,10,1,0,150.00,1359495,9
Kagiso Rabada ,not out ,0,1,4,0,0,0.00,1359495,10
Extras,"(lb 2, w 5)",7,,,,,,1359495,11
TOTAL,19.3 Ov (RR: 8.25),161/8,,,,,,1359495,12
David Warner (c),c Kohli b Vyshak,19,13,33,4,0,146.15,1359494,1
Prithvi Shaw ,run out (Anuj Rawat),0,2,4,0,0,0.00,1359494,2
Mitchell Marsh ,c Kohli b Parnell,0,4,7,0,0,0.00,1359494,3
Yash Dhull ,lbw b Mohammed Siraj,1,4,6,0,0,25.00,1359494,4
Manish Pandey ,lbw b Hasaranga,50,38,59,5,1,131.57,1359494,5
Abishek Porel †,c Parnell b Patel,5,8,17,0,0,62.50,1359494,6
Axar Patel ,c Mohammed Siraj b Vyshak,21,14,18,3,0,150.00,1359494,7
Aman Hakim Khan ,c Kohli b Mohammed Siraj,18,10,27,1,1,180.00,1359494,8
Lalit Yadav ,c Maxwell b Vyshak,4,7,10,0,0,57.14,1359494,9
Anrich Nortje ,not out ,23,14,19,4,0,164.28,1359494,10
Kuldeep Yadav ,not out ,7,6,10,1,0,116.66,1359494,11
Extras,(w 3),3,,,,,,1359494,12
TOTAL,20 Ov (RR: 7.55),151/9,,,,,,1359494,13
Rahmanullah Gurbaz †,c Umran Malik b Kumar,0,3,3,0,0,0.00,1359493,1
Narayan Jagadeesan ,c sub (GD Phillips) b Markande,36,21,41,5,1,171.42,1359493,2
Venkatesh Iyer ,c Markram b Jansen,10,11,15,2,0,90.90,1359493,3
Sunil Narine ,c Markram b Jansen,0,1,2,0,0,0.00,1359493,4
Nitish Rana (c),c Washington Sundar b Natarajan,75,41,67,5,6,182.92,1359493,5
Andre Russell ,c Jansen b Markande,3,6,10,0,0,50.00,1359493,6
Rinku Singh ,not out ,58,31,51,4,4,187.09,1359493,7
Shardul Thakur ,c Washington Sundar b Umran Malik,12,7,15,2,0,171.42,1359493,8
Umesh Yadav ,not out ,1,1,4,0,0,100.00,1359493,9
Extras,"(lb 2, nb 2, w 6)",10,,,,,,1359493,10
TOTAL,20 Ov (RR: 10.25),205/7,,,,,,1359493,11
Wriddhiman Saha †,c Short b Rabada,30,19,-,5,0,157.89,1359492,1
Shubman Gill , b Curran,67,49,-,7,1,136.73,1359492,2
Sai Sudharsan ,c Prabhsimran Singh b Arshdeep Singh,19,20,-,2,0,95.00,1359492,3
Hardik Pandya (c),c Curran b Harpreet Brar,8,11,-,1,0,72.72,1359492,4
David Miller ,not out ,17,18,-,1,0,94.44,1359492,5
Rahul Tewatia ,not out ,5,2,-,1,0,250.00,1359492,6
Extras,(lb 8),8,,,,,,1359492,7
TOTAL,19.5 Ov (RR: 7.76),154/4,,,,,,1359492,8
Ruturaj Gaikwad ,c Jaiswal b Sandeep Sharma,8,10,14,1,0,80.00,1359491,1
Devon Conway ,c Jaiswal b Chahal,50,38,82,6,0,131.57,1359491,2
Ajinkya Rahane ,lbw b Ashwin,31,19,38,2,1,163.15,1359491,3
Shivam Dube ,lbw b Ashwin,8,9,13,1,0,88.88,1359491,4
Moeen Ali ,c Sandeep Sharma b Zampa,7,10,12,0,0,70.00,1359491,5
Ambati Rayudu ,c Hetmyer b Chahal,1,2,4,0,0,50.00,1359491,6
Ravindra Jadeja ,not out ,25,15,35,1,2,166.66,1359491,7
MS Dhoni (c)†,not out ,32,17,30,1,3,188.23,1359491,8
Extras,"(lb 2, w 8)",10,,,,,,1359491,9
TOTAL,20 Ov (RR: 8.60),172/6,,,,,,1359491,10
Rohit Sharma (c),c †Abishek Porel b Mustafizur Rahman,65,45,86,6,4,144.44,1359490,1
Ishan Kishan †,run out (Mukesh Kumar/Lalit Yadav),31,26,32,6,0,119.23,1359490,2
Tilak Varma ,c Pandey b Mukesh Kumar,41,29,42,1,4,141.37,1359490,3
Suryakumar Yadav ,c Kuldeep Yadav b Mukesh Kumar,0,1,3,0,0,0.00,1359490,4
Tim David ,not out ,13,11,27,0,1,118.18,1359490,5
Cameron Green ,not out ,17,8,20,1,1,212.50,1359490,6
Extras,"(lb 4, w 2)",6,,,,,,1359490,7
TOTAL,20 Ov (RR: 8.65),173/4,,,,,,1359490,8
Kyle Mayers , b Mohammed Siraj,0,3,5,0,0,0.00,1359489,1
KL Rahul (c),c Kohli b Mohammed Siraj,18,20,61,1,0,90.00,1359489,2
Deepak Hooda ,c †Karthik b Parnell,9,10,19,1,0,90.00,1359489,3
Krunal Pandya ,c †Karthik b Parnell,0,2,3,0,0,0.00,1359489,4
Marcus Stoinis ,c Shahbaz Ahmed b Sharma,65,30,32,6,5,216.66,1359489,5
Nicholas Pooran †,c Shahbaz Ahmed b Mohammed Siraj,62,19,38,4,7,326.31,1359489,6
Ayush Badoni ,hit wicket b Parnell,30,24,45,4,0,125.00,1359489,7
Jaydev Unadkat ,c du Plessis b Patel,9,7,19,1,0,128.57,1359489,8
Mark Wood , b Patel,1,2,6,0,0,50.00,1359489,9
Ravi Bishnoi ,not out ,3,2,8,0,0,150.00,1359489,10
Avesh Khan ,not out ,0,1,3,0,0,0.00,1359489,11
Extras,"(b 1, lb 6, w 9)",16,,,,,,1359489,12
TOTAL,20 Ov (RR: 10.65),213/9,,,,,,1359489,13
Harry Brook , b Arshdeep Singh,13,14,18,3,0,92.85,1359488,1
Mayank Agarwal ,c Curran b Chahar,21,20,38,3,0,105.00,1359488,2
Rahul Tripathi ,not out ,74,48,61,10,3,154.16,1359488,3
Aiden Markram (c),not out ,37,21,41,6,0,176.19,1359488,4
Extras,,0,,,,,,1359488,5
TOTAL,17.1 Ov (RR: 8.44),145/2,,,,,,1359488,6
Rahmanullah Gurbaz †,c Yash Dayal b Mohammed Shami,15,12,13,1,1,125.00,1359487,1
Narayan Jagadeesan ,c Manohar b Little,6,8,21,1,0,75.00,1359487,2
Venkatesh Iyer ,c Shubman Gill b Joseph,83,40,64,8,5,207.50,1359487,3
Nitish Rana (c),c Mohammed Shami b Joseph,45,29,42,4,3,155.17,1359487,4
Rinku Singh ,not out ,48,21,43,1,6,228.57,1359487,5
Andre Russell ,c sub (†KS Bharat) b Rashid Khan,1,2,6,0,0,50.00,1359487,6
Sunil Narine ,c sub (J Yadav) b Rashid Khan,0,1,2,0,0,0.00,1359487,7
Shardul Thakur ,lbw b Rashid Khan,0,1,3,0,0,0.00,1359487,8
Umesh Yadav ,not out ,5,6,19,0,0,83.33,1359487,9
Extras,"(lb 1, w 3)",4,,,,,,1359487,10
TOTAL,20 Ov (RR: 10.35),207/7,,,,,,1359487,11
Devon Conway , b Behrendorff,0,4,4,0,0,0.00,1359486,1
Ruturaj Gaikwad ,not out ,40,36,80,2,1,111.11,1359486,2
Ajinkya Rahane ,c Yadav b Chawla,61,27,33,7,3,225.92,1359486,3
Shivam Dube , b Kartikeya,28,26,28,2,1,107.69,1359486,4
Ambati Rayudu ,not out ,20,16,16,3,0,125.00,1359486,5
Extras,"(lb 4, w 6)",10,,,,,,1359486,6
TOTAL,18.1 Ov (RR: 8.75),159/3,,,,,,1359486,7
Prithvi Shaw ,c †Samson b Boult,0,3,4,0,0,0.00,1359485,1
David Warner (c),lbw b Chahal,65,55,102,7,0,118.18,1359485,2
Manish Pandey ,lbw b Boult,0,1,3,0,0,0.00,1359485,3
Rilee Rossouw ,c Jaiswal b R Ashwin,14,12,24,2,0,116.66,1359485,4
Lalit Yadav , b Boult,38,24,35,5,0,158.33,1359485,5
Axar Patel ,st †Samson b Chahal,2,6,12,0,0,33.33,1359485,6
Rovman Powell ,c Hetmyer b R Ashwin,2,2,6,0,0,100.00,1359485,7
Abishek Porel †,c Hetmyer b Chahal,7,9,18,1,0,77.77,1359485,8
Kuldeep Yadav ,not out ,3,7,9,0,0,42.85,1359485,9
Anrich Nortje , b Sandeep Sharma,0,1,3,0,0,0.00,1359485,10
Mukesh Kumar ,not out ,1,1,3,0,0,100.00,1359485,11
Extras,"(lb 2, nb 1, w 7)",10,,,,,,1359485,12
TOTAL,20 Ov (RR: 7.10),142/9,,,,,,1359485,13
Kyle Mayers ,c Agarwal b Fazalhaq Farooqi,13,14,22,2,0,92.85,1359484,1
KL Rahul (c),lbw b Rashid,35,31,74,4,0,112.90,1359484,2
Deepak Hooda ,c & b Kumar,7,8,10,0,1,87.50,1359484,3
Krunal Pandya ,c †Anmolpreet Singh b Umran Malik,34,23,33,4,1,147.82,1359484,4
Marcus Stoinis ,not out ,10,13,22,2,0,76.92,1359484,5
Romario Shepherd ,lbw b Rashid,0,1,3,0,0,0.00,1359484,6
Nicholas Pooran †,not out ,11,6,7,1,1,183.33,1359484,7
Extras,"(b 2, w 15)",17,,,,,,1359484,8
TOTAL,16 Ov (RR: 7.93),127/5,,,,,,1359484,9
Virat Kohli , b Narine,21,18,20,3,0,116.66,1359483,1
Faf du Plessis (c), b Varun,23,12,24,2,2,191.66,1359483,2
Michael Bracewell ,c Rana b Thakur,19,18,33,1,1,105.55,1359483,3
Glenn Maxwell , b Varun,5,7,9,1,0,71.42,1359483,4
Harshal Patel , b Varun,0,2,3,0,0,0.00,1359483,5
Shahbaz Ahmed ,c Thakur b Narine,1,5,6,0,0,20.00,1359483,6
Dinesh Karthik †,c Varun b Suyash Sharma,9,8,23,1,0,112.50,1359483,7
Anuj Rawat ,c Narine b Suyash Sharma,1,5,5,0,0,20.00,1359483,8
David Willey ,not out ,20,20,28,2,0,100.00,1359483,9
Karn Sharma ,c Rana b Suyash Sharma,1,3,11,0,0,33.33,1359483,10
Akash Deep ,c & b Varun,17,8,14,2,1,212.50,1359483,11
Extras,"(b 4, lb 1, w 1)",6,,,,,,1359483,12
TOTAL,17.4 Ov (RR: 6.96),123,,,,,,1359483,13
Yashasvi Jaiswal ,c sub (MW Short) b Arshdeep Singh,11,8,12,1,1,137.50,1359482,1
Ravichandran Ashwin ,c S Dhawan b Arshdeep Singh,0,4,23,0,0,0.00,1359482,2
Jos Buttler ,c & b Ellis,19,11,24,1,1,172.72,1359482,3
Sanju Samson (c)†,c sub (MW Short) b Ellis,42,25,39,5,1,168.00,1359482,4
Devdutt Padikkal , b Ellis,21,26,47,1,0,80.76,1359482,5
Riyan Parag ,c Shahrukh Khan b Ellis,20,12,16,1,2,166.66,1359482,6
Shimron Hetmyer ,run out (Shahrukh Khan/Curran),36,18,35,1,3,200.00,1359482,7
Dhruv Jurel ,not out ,32,15,32,3,2,213.33,1359482,8
Jason Holder ,not out ,1,1,4,0,0,100.00,1359482,9
Extras,"(b 1, w 9)",10,,,,,,1359482,10
TOTAL,20 Ov (RR: 9.60),192/7,,,,,,1359482,11
Wriddhiman Saha †, b Nortje,14,7,9,2,1,200.00,1359481,1
Shubman Gill , b Nortje,14,13,19,3,0,107.69,1359481,2
Sai Sudharsan ,not out ,62,48,92,4,2,129.16,1359481,3
Hardik Pandya (c),c †Abishek Porel b Ahmed,5,4,12,1,0,125.00,1359481,4
Vijay Shankar ,lbw b Marsh,29,23,40,3,0,126.08,1359481,5
David Miller ,not out ,31,16,28,2,2,193.75,1359481,6
Extras,"(b 1, lb 1, nb 2, w 4)",8,,,,,,1359481,7
TOTAL,18.1 Ov (RR: 8.97),163/4,,,,,,1359481,8
KL Rahul (c),c Gaikwad b Ali,20,18,42,2,0,111.11,1359480,1
Kyle Mayers ,c Conway b Ali,53,22,35,8,2,240.90,1359480,2
Deepak Hooda ,c Stokes b Santner,2,6,6,0,0,33.33,1359480,3
Krunal Pandya ,c Jadeja b Ali,9,9,14,0,1,100.00,1359480,4
Marcus Stoinis , b Ali,21,18,26,0,1,116.66,1359480,5
Nicholas Pooran †,c Stokes b Deshpande,32,18,28,2,3,177.77,1359480,6
Ayush Badoni ,c †Dhoni b Deshpande,23,18,38,0,0,127.77,1359480,7
Krishnappa Gowtham ,not out ,17,11,26,0,1,154.54,1359480,8
Mark Wood ,not out ,10,3,2,1,1,333.33,1359480,9
Extras,"(lb 2, nb 3, w 13)",18,,,,,,1359480,10
TOTAL,20 Ov (RR: 10.25),205/7,,,,,,1359480,11
Virat Kohli ,not out ,82,49,75,6,5,167.34,1359479,1
Faf du Plessis (c),c David b Arshad Khan,73,43,66,5,6,169.76,1359479,2
Dinesh Karthik †,c Tilak Varma b Green,0,3,6,0,0,0.00,1359479,3
Glenn Maxwell ,not out ,12,3,5,0,2,400.00,1359479,4
Extras,"(lb 1, w 4)",5,,,,,,1359479,5
TOTAL,16.2 Ov (RR: 10.53),172/2,,,,,,1359479,6
Abhishek Sharma , b Boult,0,3,3,0,0,0.00,1359478,1
Mayank Agarwal ,c Buttler b Chahal,27,23,56,3,0,117.39,1359478,2
